nodeId:ID,:LABEL,law,article:int,text,is_stub:boolean
CDC_art1,LegalProvision,CDC,1,"Art. 1° O presente código estabelece normas de proteção e defesa do consumidor, de ordem pública e interesse social, nos termos dos arts. 5°, inciso XXXII , 170, inciso V, da Constituição Federal e art. 48 de suas Disposições Transitórias .",false
CDC_art2,LegalProvision,CDC,2,Art. 2° Consumidor é toda pessoa física ou jurídica que adquire ou utiliza produto ou serviço como destinatário final.,false
CDC_art14,LegalProvision,CDC,14,"Art. 14 . O fornecedor de serviços responde, independentemente da existência de culpa, pela reparação dos danos causados aos consumidores por defeitos relativos à prestação dos serviços, bem como por informações insuficientes ou inadequadas sobre sua fruição e riscos.",false
CDC_art6,LegalProvision,CDC,6,Art. 6° São direitos básicos do consumidor:,false
CDC_art3,LegalProvision,CDC,3,"Art. 3° Fornecedor é toda pessoa física ou jurídica, pública ou privada, nacional ou estrangeira, bem como os entes despersonalizados, que desenvolvem atividade de produção, montagem, criação, construção, transformação, importação, exportação, distribuição ou comercialização de produtos ou prestação de serviços.",false
CDC_art4,LegalProvision,CDC,4,,false
CDC_art52,LegalProvision,CDC,52,,true
CDC_art5,LegalProvision,CDC,5,"Art. 5° Para a execução da Política Nacional das Relações de Consumo, contará o poder público com os seguintes instrumentos, entre outros:",false
CDC_art88,LegalProvision,CDC,88,,true
CDC_art13,LegalProvision,CDC,13,"Art. 13 . O comerciante é igualmente responsável, nos termos do artigo anterior, quando:",false
CDC_art26,LegalProvision,CDC,26,Art. 26 . O direito de reclamar pelos vícios aparentes ou de fácil constatação caduca em:,false
CDC_art43,LegalProvision,CDC,43,,true
CDC_art7,LegalProvision,CDC,7,"Art. 7° Os direitos previstos neste código não excluem outros decorrentes de tratados ou convenções internacionais de que o Brasil seja signatário, da legislação interna ordinária, de regulamentos expedidos pelas autoridades administrativas competentes, bem como dos que derivem dos princípios gerais do direito, analogia, costumes e eqüidade.",false
CDC_art34,LegalProvision,CDC,34,,true
CDC_art8,LegalProvision,CDC,8,"Art. 8° Os produtos e serviços colocados no mercado de consumo não acarretarão riscos à saúde ou segurança dos consumidores, exceto os considerados normais e previsíveis em decorrência de sua natureza e fruição, obrigando-se os fornecedores, em qualquer hipótese, a dar as informações necessárias e adequadas a seu respeito.",false
CDC_art12,LegalProvision,CDC,12,"Art. 12 . O fabricante, o produtor, o construtor, nacional ou estrangeiro, e o importador respondem, independentemente da existência de culpa, pela reparação dos danos causados aos consumidores por defeitos decorrentes de projeto, fabricação, construção, montagem, fórmulas, manipulação, apresentação ou acondicionamento de seus produtos, bem como por informações insuficientes ou inadequadas sobre sua utilização e riscos.",false
CDC_art9,LegalProvision,CDC,9,"Art. 9° O fornecedor de produtos e serviços potencialmente nocivos ou perigosos à saúde ou segurança deverá informar, de maneira ostensiva e adequada, a respeito da sua nocividade ou periculosidade, sem prejuízo da adoção de outras medidas cabíveis em cada caso concreto.",false
CDC_art10,LegalProvision,CDC,10,Art. 10 . O fornecedor não poderá colocar no mercado de consumo produto ou serviço que sabe ou deveria saber apresentar alto grau de nocividade ou periculosidade à saúde ou segurança.,false
CDC_art11,LegalProvision,CDC,11,Art. 11 . (Vetado) .,false
CDC_art27,LegalProvision,CDC,27,"Art. 27 . Prescreve em cinco anos a pretensão à reparação pelos danos causados por fato do produto ou do serviço prevista na Seção II deste Capítulo, iniciando-se a contagem do prazo a partir do conhecimento do dano e de sua autoria.",false
CDC_art17,LegalProvision,CDC,17,"Art. 17 . Para os efeitos desta Seção, equiparam-se aos consumidores todas as vítimas do evento.",false
CDC_art15,LegalProvision,CDC,15,Art. 15 . (Vetado) .,false
CDC_art16,LegalProvision,CDC,16,Art. 16 . (Vetado) .,false
CDC_art18,LegalProvision,CDC,18,"Art. 18 . Os fornecedores de produtos de consumo duráveis ou não duráveis respondem solidariamente pelos vícios de qualidade ou quantidade que os tornem impróprios ou inadequados ao consumo a que se destinam ou lhes diminuam o valor, assim como por aqueles decorrentes da disparidade, com a indicações constantes do recipiente, da embalagem, rotulagem ou mensagem publicitária, respeitadas as variações decorrentes de sua natureza, podendo o consumidor exigir a substituição das partes viciadas.",false
CDC_art19,LegalProvision,CDC,19,"Art. 19 . Os fornecedores respondem solidariamente pelos vícios de quantidade do produto sempre que, respeitadas as variações decorrentes de sua natureza, seu conteúdo líquido for inferior às indicações constantes do recipiente, da embalagem, rotulagem ou de mensagem publicitária, podendo o consumidor exigir, alternativamente e à sua escolha:",false
CDC_art20,LegalProvision,CDC,20,"Art. 20 . O fornecedor de serviços responde pelos vícios de qualidade que os tornem impróprios ao consumo ou lhes diminuam o valor, assim como por aqueles decorrentes da disparidade com as indicações constantes da oferta ou mensagem publicitária, podendo o consumidor exigir, alternativamente e à sua escolha:",false
